Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Category,Latitude,Longitude,Wikipedia_URL,Wikipedia_Image
Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,,Historical,Yes,2.6,Evening,Heritage,28.6129332,77.2294928,https://en.wikipedia.org/wiki/India_Gate,https://upload.wikimedia.org/wikipedia/commons/3/33/A_Mass_Run_against_Drug_Abuse%2C_on_the_occasion_of_the_International_Day_Against_Drug_Abuse_and_Illicit_Trafficking%2C_at_India_Gate%2C_in_New_Delhi_on_June_26%2C_2011.jpg
Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,Yes,,Historical,Yes,0.4,Afternoon,Heritage,28.5932856,77.2506468,https://en.wikipedia.org/wiki/Humayun%27s_Tomb,https://upload.wikimedia.org/wikipedia/commons/d/d0/%22Capture_of_the_King_of_Delhi_by_Captain_Hodson%22.jpg
Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5.0,4.6,60,Yes,,Religious,No,0.4,Afternoon,Temple,28.6125167,77.2773184,https://en.wikipedia.org/wiki/Swaminarayan_Akshardham_(Delhi),https://upload.wikimedia.org/wikipedia/commons/9/98/Akshardham_Delhi_Ricky_W.jpg
Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2.0,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,Modern,42.2781401,-74.9159946,https://en.wikipedia.org/wiki/List_of_parks_in_Delhi,https://upload.wikimedia.org/wikipedia/commons/7/75/Sunder_Nursery.jpg
Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2.0,4.2,15,Yes,,Scientific,Yes,0.31,Morning,Modern,28.6271791,77.2166166,"https://en.wikipedia.org/wiki/Jantar_Mantar,_New_Delhi",https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg
Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3.0,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,Modern,28.6559834,77.2321937,https://en.wikipedia.org/wiki/Chandni_Chowk,https://upload.wikimedia.org/wikipedia/commons/3/3d/A_panorama_in_12_folds_showing_the_procession_of_the_Emperor_Bahadur_Shah_to_celebrate_the_feast_of_the_%27Id.%2C_1843.jpg
Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1.0,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,Temple,28.5533586,77.2586006,https://en.wikipedia.org/wiki/Lotus_Temple,https://upload.wikimedia.org/wikipedia/commons/2/22/101-Lotus-Temple-Information-Centre.JPG
Northern,Delhi,Delhi,Red Fort,Fort,1648,2.0,4.5,35,Yes,,Historical,Yes,1.5,Afternoon,Heritage,28.656081,77.2407959,https://en.wikipedia.org/wiki/Red_Fort,https://upload.wikimedia.org/wikipedia/commons/4/4c/%27Jujhar_Singh_Bundela_Kneels_in_Submission_to_Shah_Jahan%27%2C_painted_by_Bichitr%2C_c._1630%2C_Chester_Beatty_Library_%28cropped2%29.jpg
Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1.0,4.2,0,Yes,,Historical,Yes,0.41,Afternoon,Heritage,28.6260676,77.2250111,https://en.wikipedia.org/wiki/Agrasen_Ki_Baoli,https://upload.wikimedia.org/wikipedia/commons/f/f4/Agrasen_Ki_Baoli_Panorama.jpg
Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2.0,4.6,0,Yes,,Botanical,Yes,0.16,Afternoon,Modern,28.5969098,77.2470188,https://en.wikipedia.org/wiki/Sunder_Nursery,https://upload.wikimedia.org/wikipedia/commons/d/d1/Ampitheatre_Sunder_Nursery.jpg
Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2.0,4.1,35,Yes,,Botanical,Yes,0.23,Morning,Modern,28.5137724,77.1983445,https://en.wikipedia.org/wiki/Garden_of_Five_Senses,https://upload.wikimedia.org/wikipedia/commons/8/8e/Delhi_Tourism.JPG
Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1.0,4.5,0,Yes,,Botanical,Yes,0.48,All,Modern,28.5962998,77.2215497,,images.jpg
Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3.0,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,Other,28.6096334,77.2341764,https://en.wikipedia.org/wiki/National_Gallery_of_Modern_Art,https://upload.wikimedia.org/wikipedia/commons/a/a6/Abanindranath_Tagore_-_My_Mother_-_Google_Art_Project.jpg
Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3.0,4.1,80,Yes,Friday,Environmental,Yes,0.41,All,Modern,28.6026948,77.247176,https://en.wikipedia.org/wiki/National_Zoological_Park_Delhi,https://upload.wikimedia.org/wikipedia/commons/7/71/Black_Bear_in_National_Zoological_Park%2C_Delhi.jpg
Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1.0,4.5,35,Yes,,Historical,Yes,1.37,Afternoon,Heritage,28.524413,77.1854501,https://en.wikipedia.org/wiki/Qutb_Minar,https://upload.wikimedia.org/wikipedia/commons/3/38/2018_Qutub_Minar_New_Delhi.jpg
Northern,Delhi,Delhi,National Science Centre,Science,1992,5.0,4.4,70,Yes,,Scientific,Yes,0.23,All,Modern,28.6256148,77.1621057,"https://en.wikipedia.org/wiki/National_Science_Centre,_Delhi",https://upload.wikimedia.org/wikipedia/commons/d/db/Indian_Science_and_Technology_Heritage_Gallery_-_National_Science_Centre_-_New_Delhi_2014-05-06_0833-0844_Compress.JPG
Western,Maharastra,Mumbai,Marine Drive,Promenade,Unknown,2.0,4.5,0,Yes,,Scenic,Yes,1.5,Evening,Modern,18.9478113,72.8203873,"https://en.wikipedia.org/wiki/Marine_Drive,_Mumbai",https://upload.wikimedia.org/wikipedia/commons/8/83/Chowpatti.jpg
Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1.0,4.6,0,Yes,,Historical,Yes,3.6,All,Heritage,18.9219661,72.8345657,https://en.wikipedia.org/wiki/Gateway_of_India,https://upload.wikimedia.org/wikipedia/commons/a/ac/3_December_2008_Gateway_protest_march_5.jpg
Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1.0,4.6,500,Yes,,Historical,Yes,0.34,All,Other,18.9268772,72.8325921,https://en.wikipedia.org/wiki/Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya,https://upload.wikimedia.org/wikipedia/commons/9/99/Akbar%27s_amrour.jpg
Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3.0,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All,Nature,19.215041,72.9121984,https://en.wikipedia.org/wiki/Sanjay_Gandhi_National_Park,https://upload.wikimedia.org/wikipedia/commons/e/ee/Asian_Elephant_in_Corbett_National_Park.jpg
Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,1881,2.0,4.8,0,Yes,,Religious,No,1.05,All,Temple,19.0169869,72.8302725,"https://en.wikipedia.org/wiki/Siddhivinayak_Temple,_Mumbai",https://upload.wikimedia.org/wikipedia/commons/4/46/Amriteshwar_temple.jpg
Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1831,1.0,4.7,0,Yes,,Religious,No,0.33,All,Temple,19.054999,72.8692035,"https://en.wikipedia.org/wiki/Mahalakshmi_Temple,_Mumbai",https://upload.wikimedia.org/wikipedia/commons/4/46/Amriteshwar_temple.jpg
Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2.0,4.4,0,Yes,,Religious,No,0.16,All,Temple,18.9828229,72.8089926,https://en.wikipedia.org/wiki/Haji_Ali_Dargah,https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg
Western,Maharastra,Mumbai,Chowpatty Beach,Beach,Unknown,2.0,4.3,0,Yes,,Recreational,Yes,0.05,Evening,Nature,18.9543589,72.8128787,https://en.wikipedia.org/wiki/Girgaon_Chowpatty,https://upload.wikimedia.org/wikipedia/commons/8/83/Chowpatti.jpg
Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5.0,4.3,1149,Yes,,Recreational,Yes,0.27,All,Modern,19.2253824,72.8080979,https://en.wikipedia.org/wiki/EsselWorld,https://upload.wikimedia.org/wikipedia/commons/0/0c/Red_pog.svg
Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4.0,4.3,550,Yes,,Historical,Yes,0.35,All ,Heritage,19.054999,72.8692035,https://en.wikipedia.org/wiki/Elephanta_Island,https://upload.wikimedia.org/wikipedia/commons/7/74/Elephanta_Canon_2_1.jpg
Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,5.0,1.4,1149,No,Monday,Recreational,Yes,0.95,All,Modern,18.7503694,73.4069436,https://en.wikipedia.org/wiki/Della_Adventure_Park,https://upload.wikimedia.org/wikipedia/commons/6/66/Super_Star%2C_Freak_Out_and_KMG_Booster%2C_night.jpg
Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2.0,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning,Heritage,12.9985954,77.5920086,https://en.wikipedia.org/wiki/Bengaluru,https://upload.wikimedia.org/wikipedia/commons/7/78/Aerial_view_of_a_TV_Tower_in_Bangalore_%282%29.jpg
Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,Yes,,Nature,Yes,1.5,Evening,Nature,12.9488492,77.5868882,https://en.wikipedia.org/wiki/Lal_Bagh,https://upload.wikimedia.org/wikipedia/commons/7/7b/Bombax_LalBagh.JPG
Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1.0,4.4,0,Yes,,Nature,Yes,1.32,Morning,Modern,12.9808954,77.597562,https://en.wikipedia.org/wiki/Cubbon_Park,https://upload.wikimedia.org/wikipedia/commons/4/40/Bangalore_City_Central_Library.jpg
Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0,Yes,,Architectural,No,0.8,Morning,Heritage,12.9797454,77.5906167,https://en.wikipedia.org/wiki/Vidhana_Soudha,https://upload.wikimedia.org/wikipedia/commons/6/6c/First_Day_Pictorial_Cancellation_of_Vidhana_Soudha%2C_Bangalore_%285_January_1979%29.jpg
Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1.0,4.6,0,Yes,,Religious,Yes,1.14,Evening,Temple,13.011855,77.5514407,"https://en.wikipedia.org/wiki/ISKCON_Temple,_Bengaluru",https://upload.wikimedia.org/wikipedia/commons/e/e7/3-PA300293_A_pond.JPG
Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1.0,4.5,25,Yes,Friday,Historical,Yes,2.1,Morning,Heritage,17.3616024,78.4746421,https://en.wikipedia.org/wiki/Charminar,https://upload.wikimedia.org/wikipedia/commons/f/f7/A_typical_charminar_evening.jpg
Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2.0,4.4,30,Yes,,Historical,Yes,1.2,Morning,Heritage,17.3833665,78.4010991,https://en.wikipedia.org/wiki/Golconda,https://upload.wikimedia.org/wikipedia/commons/d/df/Aerial_view_of_Golconda_fort.jpg
Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1.0,4.3,0,Yes,,Scenic,Yes,0.5,Evening,Nature,17.4229112,78.475421,https://en.wikipedia.org/wiki/Hussain_Sagar,https://upload.wikimedia.org/wikipedia/commons/f/fe/125_feet_Ambedkar_Statue_in_Hyderabad%2C_Telangana_%28cropped%29.jpg
Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4.0,4.4,1150,Yes,,Entertainment,Yes,0.45,All,Modern,17.2524153,78.6798949,https://en.wikipedia.org/wiki/Ramoji_Film_City,https://upload.wikimedia.org/wikipedia/commons/e/ed/Bahubali_Set_in_RFC_4.jpg
Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2.0,4.4,20,Yes,,Historical,Yes,0.67,All,Other,17.371392,78.4801498,https://en.wikipedia.org/wiki/Salar_Jung_Museum,https://upload.wikimedia.org/wikipedia/commons/2/22/Anantasayana_Vishnu.jpg
Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1.0,4.4,25,Yes,,Historical,Yes,0.2,Morning,Heritage,17.3973713,78.4001622,https://en.wikipedia.org/wiki/Qutb_Shahi_tombs,https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg
Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1.0,4.7,0,Yes,,Religious,No,0.41,All,Temple,17.4060776,78.4689591,"https://en.wikipedia.org/wiki/Birla_Mandir,_Hyderabad",https://upload.wikimedia.org/wikipedia/commons/0/00/Bhadrachalam_temple_View_from_Lord_Narasimha_Temple.JPG
Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80,Yes,,Historical,Yes,0.45,Morning,Heritage,17.3575817,78.4717055,https://en.wikipedia.org/wiki/Chowmahalla_Palace,https://upload.wikimedia.org/wikipedia/commons/7/71/Charminar_Hyderabad_1.jpg
Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.2,50,Yes,,Wildlife,Yes,0.86,Morning,Modern,17.3514419,78.4455598,https://en.wikipedia.org/wiki/Nehru_Zoological_Park,https://upload.wikimedia.org/wikipedia/commons/5/5b/Bear_1.JPG
Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1.0,4.1,20,Yes,,Recreational,Yes,0.73,Evening,Modern,17.4097139,78.4728234,https://en.wikipedia.org/wiki/Lumbini_Park,https://upload.wikimedia.org/wikipedia/commons/e/ef/A_ride_at_Lumbini_park.jpg
Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning,Other,22.5449558,88.3425545,"https://en.wikipedia.org/wiki/Victoria_Memorial,_Kolkata",https://upload.wikimedia.org/wikipedia/commons/1/14/Angel_of_Kolkata_Victoria_Memorial.jpg
Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,,Architectural,No,1.2,Anytime,Hidden Gem,22.5850528,88.3469761,https://en.wikipedia.org/wiki/Howrah_Bridge,https://upload.wikimedia.org/wikipedia/commons/b/b5/Ferry_Howrah_Bridge.jpg
Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2.0,4.6,50,Yes,Monday,Historical,Yes,0.18,Morning,Other,22.5575863,88.3510335,https://en.wikipedia.org/wiki/Indian_Museum,https://upload.wikimedia.org/wikipedia/commons/7/79/Ashok_Stambha_at_Indian_Museum%2C_Kolkata.jpg
Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1.0,4.7,0,Yes,,Religious,Yes,0.82,Morning,Temple,22.654827,88.3575776,https://en.wikipedia.org/wiki/Dakshineswar_Kali_Temple,https://upload.wikimedia.org/wikipedia/commons/3/30/1_Om.svg
Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1.0,4.4,0,Yes,,Religious,Yes,0.5,Morning,Temple,22.520211,88.3420596,https://en.wikipedia.org/wiki/Kalighat_Temple,https://upload.wikimedia.org/wikipedia/commons/6/67/Aum_Om_red.svg
Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3.0,4.1,2500,Yes,,Sports,Yes,0.1,All,Modern,22.5646093,88.3423371,https://en.wikipedia.org/wiki/Eden_Gardens,https://upload.wikimedia.org/wikipedia/commons/3/38/Aiga_railtransportation_25.svg
Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2.0,4.3,25,Yes,,Wildlife,Yes,0.66,Afternoon,Modern,22.5726459,88.3638953,"https://en.wikipedia.org/wiki/Zoological_Garden,_Alipore",https://upload.wikimedia.org/wikipedia/commons/8/8f/AliporeZooSchwendler.jpg
Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3.0,4.4,60,Yes,,Educational,Yes,0.88,All,Modern,22.5400604,88.3958472,https://en.wikipedia.org/wiki/Kolkata_Metro,https://upload.wikimedia.org/wikipedia/commons/0/01/Calcutta-line1.jpg
Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,Yes,,Religious,Yes,0.47,Morning,Other,22.5726459,88.3638953,https://en.wikipedia.org/wiki/Belur_Math,https://upload.wikimedia.org/wikipedia/commons/3/30/1_Om.svg
Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1.0,4.4,0,Yes,,Historical,Yes,0.1,Afternoon,Heritage,22.5821271,88.3602101,https://en.wikipedia.org/wiki/Marble_Palace_(Kolkata),https://upload.wikimedia.org/wikipedia/commons/8/83/Marble_Palace%2C_Calcutta_in_1945.jpg
Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2.0,4.4,0,Yes,,Scenic,Yes,0.26,Evening,Nature,15.5424885,73.7555617,https://en.wikipedia.org/wiki/Calangute,https://upload.wikimedia.org/wikipedia/commons/6/63/Altars_at_St._Alex_Church%2C_Calangute.jpg
Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1.0,4.5,0,Yes,,Historical,Yes,0.59,Afternoon,Temple,15.5006961,73.9117039,https://en.wikipedia.org/wiki/Basilica_of_Bom_Jesus,https://upload.wikimedia.org/wikipedia/commons/5/5a/046CupolaSPietro.jpg
Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,,Historical,Yes,0.95,Morning,Heritage,15.4923866,73.7735976,https://en.wikipedia.org/wiki/Fort_Aguada,https://upload.wikimedia.org/wikipedia/commons/4/44/Agoda_Goa_RajakumarDhaamodharan.jpg
Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3.0,4.6,500,Yes,,Nature,Yes,0.3,Afternoon,Nature,15.3156176,74.3142493,https://en.wikipedia.org/wiki/Dudhsagar_Falls,https://upload.wikimedia.org/wikipedia/commons/0/0f/Castle_rock_railway_station%2C_Karnataka.jpg
Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2.0,4.4,0,Yes,,Scenic,Yes,0.18,Evening,Nature,15.5758504,73.7402545,https://en.wikipedia.org/wiki/Anjuna,https://upload.wikimedia.org/wikipedia/commons/e/ef/Anjuna%2C_Goa%2C_India%2C_Holy_Hindu_cows.jpg
Southern,Goa,Goa,Chapora Fort,Fort,1617,1.0,4.2,0,Yes,,Historical,Yes,0.19,Evening,Heritage,15.6059531,73.7352845,https://en.wikipedia.org/wiki/Chapora_Fort,https://upload.wikimedia.org/wikipedia/commons/5/5c/Chapora_fort_25012016.jpg
Southern,Goa,Goa,Se Cathedral,Church,1640,1.0,4.5,0,Yes,,Historical,Yes,0.05,Afternoon,Temple,15.5037349,73.9121938,https://en.wikipedia.org/wiki/Se_Cathedral,https://upload.wikimedia.org/wikipedia/commons/0/0e/Bell_Tower_on_Se_Cathedral.jpg
Southern,Goa,Goa,Baga Beach,Beach,Unknown,2.0,4.5,0,Yes,,Scenic,Yes,0.35,Evening,Nature,15.5573721,73.75098,"https://en.wikipedia.org/wiki/Baga,_Goa",https://upload.wikimedia.org/wikipedia/commons/0/0d/BagaBeachPanorana.jpg
Southern,Goa,Goa,Arambol Beach,Beach,Unknown,2.0,4.6,0,Yes,,Scenic,Yes,0.1,Evening,Nature,15.6786308,73.7051496,https://en.wikipedia.org/wiki/Arambol,https://upload.wikimedia.org/wikipedia/commons/8/82/Arambol-give-tylicki.jpg
Southern,Goa,Goa,Palolem Beach,Beach,Unknown,2.0,4.6,0,Yes,,Scenic,Yes,0.27,Evening,Nature,15.0093077,74.024229,https://en.wikipedia.org/wiki/Palolem_Beach,https://upload.wikimedia.org/wikipedia/commons/b/ba/Fishing.svg
Southern,Goa,Goa,Colva Beach,Beach,Unknown,2.0,4.3,0,Yes,,Scenic,Yes,0.1,Evening,Nature,15.2857909,73.9105447,https://en.wikipedia.org/wiki/Colva,https://upload.wikimedia.org/wikipedia/commons/e/e1/Colva_Church.jpg
Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,4.2,0,Yes,,Scenic,Yes,0.3,Evening,Nature,15.4766811,73.8066757,"https://en.wikipedia.org/wiki/Miramar,_Goa",https://upload.wikimedia.org/wikipedia/commons/b/bb/Miramar_24022016.jpg
Southern,Goa,Goa,Aguada Beach,Beach,Unknown,2.0,4.5,0,Yes,,Scenic,Yes,0.01,Evening,Nature,15.4988795,73.7672505,https://en.wikipedia.org/wiki/Fort_Aguada,https://upload.wikimedia.org/wikipedia/commons/4/44/Agoda_Goa_RajakumarDhaamodharan.jpg
Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2.0,3.9,10,Yes,,Wildlife,Yes,0.03,Afternoon,Nature,58.98842,5.622444,,images.jpg
Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,Yes,,Historical,Yes,0.35,Morning,Heritage,23.0601651,72.5806382,https://en.wikipedia.org/wiki/Sabarmati_Ashram,https://upload.wikimedia.org/wikipedia/commons/c/c3/Artifacts_used_by_Mahatma_Gandhi_and_Kasturabaa_Gandhi_at_Sabarmati_Ashram_%2C_Ahamadaabad.jpg
Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2.0,4.7,0,No,,Religious,No,0.59,Evening,Temple,22.2377737,68.9675115,https://en.wikipedia.org/wiki/Dwarkadhish_Temple,https://upload.wikimedia.org/wikipedia/commons/5/51/ABX_SHRI_PURUSHOTTAMA_KSHETRA_PURI.jpg
Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3.0,4.5,3500,No,,Wildlife,Yes,0.08,Morning,Nature,21.1267789,70.7747952,https://en.wikipedia.org/wiki/Gir_National_Park,https://upload.wikimedia.org/wikipedia/commons/5/51/Adult_Asiatic_Lion.jpg
Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0,Yes,,Nature,Yes,0.12,Evening,Other,23.8304196,69.5200898,https://en.wikipedia.org/wiki/Bhuj,https://upload.wikimedia.org/wikipedia/commons/a/ac/19132_Kutch_Express_at_Bhuj_railway_station.jpg
Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2.0,4.4,200,Yes,Monday,Historical,Yes,0.17,Afternoon,Heritage,22.2918544,73.1883335,"https://en.wikipedia.org/wiki/Lakshmi_Vilas_Palace,_Vadodara",https://upload.wikimedia.org/wikipedia/commons/b/bd/LakshmiVilas_Palace.jpg
Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2.0,4.8,0,No,,Religious,No,0.39,Morning,Temple,20.8877577,70.4013836,https://en.wikipedia.org/wiki/Somnath_temple,https://upload.wikimedia.org/wikipedia/commons/f/f3/19th_century_archive_photos_of_Somanatha_temple%2C_Veraval_Prabhas_Patan%2C_Gujarat.jpg
Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,Unknown,3.0,4.9,7500,Yes,,Cultural,Yes,0.1,Evening,Heritage,23.7905518,70.4966137,https://en.wikipedia.org/wiki/Great_Rann_of_Kutch,https://upload.wikimedia.org/wikipedia/commons/6/65/Gujarat_Gulfs.jpg
Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3.0,4.6,350,No,Monday,Historical,Yes,0.67,All,Heritage,21.2947722,73.1472445,https://en.wikipedia.org/wiki/Statue_of_Unity,https://upload.wikimedia.org/wikipedia/commons/8/88/%22STATUE_OF_UNITY%22-_Kevadia_%28Gujarat%29_becomes_a_%22Land_of_Billion_Lights%22_at_night..webm
Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,0,No,,Historical,Yes,0.05,All,Other,23.2328055,72.631196,,images.jpg
Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1.0,4.6,0,Yes,,Recreational,Yes,0.1,Evening,Modern,23.0192844,72.5736364,https://en.wikipedia.org/wiki/Sabarmati_Riverfront,https://upload.wikimedia.org/wikipedia/commons/9/99/Ahmedabad_Riverfront.JPG
Western,Gujarat,Ahmedabad,Manek Chowk,Market,Unknown,2.0,4.4,0,Yes,,Food,Yes,0.49,Night,Modern,23.0231798,72.5889516,https://en.wikipedia.org/wiki/Manek_Chowk_(Ahmedabad),https://upload.wikimedia.org/wikipedia/commons/5/54/Ahmedabad_Stock_Exchange.jpg
Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3.0,4.5,10,Yes,,Recreational,Yes,0.3,Afternoon,Nature,23.0061433,72.5995212,https://en.wikipedia.org/wiki/Kankaria_Lake,https://upload.wikimedia.org/wikipedia/commons/4/47/Ahmedabad2007-048.JPG
Western,Gujarat,Ahmedabad,Science City,Science,2002,7.0,4.4,500,Yes,Monday,Educational,Yes,0.11,All,Modern,23.077854,72.494798,https://en.wikipedia.org/wiki/Ahmedabad,https://upload.wikimedia.org/wikipedia/commons/f/f7/1901_Ahmedabadi_Market.jpg
Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1.0,4.4,50,Yes,,Architectural,Yes,1.3,Morning,Heritage,26.923932,75.8268652,https://en.wikipedia.org/wiki/Hawa_Mahal,https://upload.wikimedia.org/wikipedia/commons/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg
